"asin","brand","price","monthly_sold","rating","reviews","offers","weight_g","len_mm","wid_mm","hei_mm","fba_us_cents","cat2","title"
"B0GW4MTL83","GM GMISS",82.99,800,4.3,11,1,1080,197,196,192,768,"Health Care","Smooth Spine Triple Fusion Back Massager with Heat - Sciatica Pain Relief & Spine Decompression Device, Deep Tissue Massager for Lower Back Pain, Office Chair and Home Use for Chronic Pain Solution"
"B0GWQHQ6NK","Wismestr",89.99,600,4.8,14,1,19187,790,579,244,3073,"Furniture","Office Desk Computer Gaming Chair for Adults, Ergonomic High Back Gamer Chair with Massage and Pocket Spring Cushion, Swivel Comfy Video Game Chairs with Footrest and Lumbar Support (Black)"
"B0GWTKCQGZ","CASASIO",159.99,500,4.8,249,1,14030,571,539,296,2693,"Furniture","Home Office Desk Chairs, Ergonomic Office Chair with Lumbar Support & 3D Headrest, Computer Desk Chair with Flip-up Armrests, Perfect for Office or Study, Black/Silver"
"B0GXKMXLDC","Zeonsit",149.99,500,4.2,41,1,13290,549,544,259,2439,"Furniture","Ergonomic Office Chair for Long Hours, Padded Lumbar Support for Lower Back Relief, 330 lb Capacity, Comfortable Computer Desk Chair for Home Office, Computer & Study"
"B0GY3RVXJ7","NEO CHAIR",49.94,700,4.4,2158,2,11199,556,541,249,2400,"Office Furniture & Lighting","NEO Chair Office Desk Computer Ergonomic Chair Comfy Mid Back Mesh Seat with Lumbar Support Adjustable Height Swivel Rolling Wheels for Home Task Vanity Study Bedroom (Ivory-White Frame)"
"B0GY7B7M29","SUDAHIA",59.98,400,4.3,25,1,1021,213,194,193,765,"Bedding","Triple Fusion Back Massager with Heat, Vibration & Air Traction, 3-in-1 Electric Lumbar Support Pillow for Lower Back Pain Relief, Spinal Decompression Device for Bed, Office Chair, Couch and Recliner"
"B0GZ3482JS","Stella Mia",108.76,600,4.5,47,1,19300,838,559,279,4406,"Furniture","Stella Mia Ergonomic Office Chair – High Back Executive Leather Desk Chair with Inflatable Lumbar Support for Back Pain, Heavy-Duty Computer Desk Chair for Long Workdays, Black"
"B0GZQ8JHGN","Sofayonn",189.99,500,4.2,44,1,-1,-1,-1,-1,0,"Furniture","Flip Armrests Criss Cross Office Chair, Reclining Office Chair with Foot Rest, Adjustable Headrest, Massage Waist Pillow, Cross Legged Big and Tall Desk Chair Wide Seat Vanity Chair, PU Leather White"
"B0H188CFXH","Sofetura",149.99,600,4.6000000000000005,50,1,-1,-1,-1,-1,0,"Furniture","Massage Office Chair with Foot Rest,6 Points Vibration & Heat Executive Office Chairs,500LBS Big and Tall Office Chair for Heavy People,Ergonomic Reclining Desk Chair,Dual-Use Pillow,Home Office,Black"
"B0H294XKC3","SIHOO",219.99,1000,4.4,16729,1,18098,541,521,356,2853,"Furniture","SIHOO B100 Office Chair, Comfy Ergonomic Office Chair, High Back Computer Chair with Adaptive Lumbar Support & wide Headrest, Flip-up Armrests, Swivel Desk Chair for Long Hours, WITHOUT Footrest, Grey"
"B0H2B94R5F","CASASIO",139.99,1000,4.8,154,2,13721,565,527,273,2536,"Furniture","CASASIO Office Desk Chair with Ergonomic Lumbar Support, Extra-Thick Seat Cushion, Flip-up Arms, Breathable Mesh Back, Computer Task Chair for Home Office"
"B0H2HR6XP3","N-GEN GAMING",87.98,800,4.5,3745,2,20099,840,580,245,4018,"Furniture","N-GEN GAMING Video Gaming Chair with Footrest Lumbar Support for Home Office High Back Recliner Height Adjustable Ergonomic Comfy Leather Computer Desk Chair (Deep Black)"
"B0H3JK9Y46","Sweetcrispy",54.98,500,4.5,490,1,11748,528,475,249,2190,"Furniture","Sweetcrispy Office Computer Desk Chair, Ergonomic Mid-Back Mesh Rolling Work Swivel Task Chairs with Wheels, Comfortable Lumbar Support, Comfy Flip-up Arms for Home, Bedroom, Study, Student, Black"
"B0H3N357S3","CGGSNDF",53.08,1000,4.4,104,2,980,273,182,110,669,"Bedding","Upgraded 3-in-1 Triple Fusion Back Massager, Cordless Lumbar Support Pillow with Heat, Massage, Electric Stretch for Pain Relief, Lower Back Massager with 3000mAh Rechargable for Bed Office Chair Car"
